Biomarker Name,ID,Exhaustive Synonyms,Type
PRKG1,,,Karyotype
LINC00448,,,Karyotype
ADAMTS9,,,Karyotype
CDHR3,,,Karyotype
OVOL1,,,Karyotype
NFILZ,,,Karyotype
KIF3A,,,Karyotype
DDX39B,,,Karyotype
NCF4-AS1,,,Karyotype
AOPEP,,,Karyotype
SYNPO2L,,,Karyotype
WNT8A,,,Karyotype
LINC01438,,,Karyotype
MIR297,,,Karyotype
COX6A1P4,,,Karyotype
LINC02576,,,Karyotype
HAND2-AS1,,,Karyotype
KCND3,,,Karyotype
NEBL,,,Karyotype
SH3PXD2A,,,Karyotype
PPFIA4,,,Karyotype
HAND2,,,Karyotype
RNU1-18P,,,Karyotype
SYK,,,Karyotype
CUX2,,,Karyotype
CDC42EP1,,,Karyotype
FENDRR,,,Karyotype
OR5V1,,,Karyotype
RNU6-1296P,,,Karyotype
BARX1,,,Karyotype
EXOC2,,,Karyotype
UBAC2,,,Karyotype
CLPTM1L,,,Karyotype
KLRC4-KLRK1,,,Karyotype
IL12A-AS1,,,Karyotype
MCTP1,,,Karyotype
LINC01748,,,Karyotype
CTSF,,,Karyotype
ATP8B3,,,Karyotype
CRACDL,,,Karyotype
CTNNA2,,,Karyotype
NGRNP1,,,Karyotype
RPL10AP3,,,Karyotype
HSPD1P6,,,Karyotype
LINC01239,,,Karyotype
DDN,,,Karyotype
EIF4EBP2P3,,,Karyotype
CLK3,,,Karyotype
CASC11,,,Karyotype
ZNF970P,,,Karyotype
C19orf12,,,Karyotype
APOBEC3A,,,Karyotype
MYNN,,,Karyotype
LSP1,,,Karyotype
LINC02871,,,Karyotype
CASC16,,,Karyotype
DIRC3-AS1,,,Karyotype
ZMIZ1,,,Karyotype
MAP3K1,,,Karyotype
CDKN2B-AS1,,,Karyotype
GDI2,,,Karyotype
CASC8,,,Karyotype
SLC4A7,,,Karyotype
CCDC170,,,Karyotype
USHBP1,,,Karyotype
LINC02224,,,Karyotype
RPL36P14,,,Karyotype
ROPN1L,,,Karyotype
ZNF577,,,Karyotype
LINC-PINT,,,Karyotype
RPS27P20,,,Karyotype
EMBP1,,,Karyotype
LDHBP3,,,Karyotype
NTN1,,,Karyotype
SYT6,,,Karyotype
MDM4,,,Karyotype
LGR6,,,Karyotype
LINC01376,,,Karyotype
MRTFA,,,Karyotype
TENT5A,,,Karyotype
EBF1,,,Karyotype
PGAM1P5,,,Karyotype
GNAI2P1,,,Karyotype
ANKLE1,,,Karyotype
NCOA1,,,Karyotype
MARK2P12,,,Karyotype
POGLUT3,,,Karyotype
TBX3-AS1,,,Karyotype
CDYL2,,,Karyotype
ADIPOR1P1,,,Karyotype
HNF4G,,,Karyotype
CASC9,,,Karyotype
ADAM29,,,Karyotype
DNAJC1,,,Karyotype
CYCSP42,,,Karyotype
AQP4-AS1,,,Karyotype
LINC00589,,,Karyotype
STXBP4,,,Karyotype
ATG10,,,Karyotype
CCDC88C,,,Karyotype
MARCHF11-DT,,,Karyotype
ARHGEF5,,,Karyotype
MCUR1,,,Karyotype
TET2,,,Karyotype
LINC02801,,,Karyotype
LINC01426,,,Karyotype
INHBB,,,Karyotype
PPIL3,,,Karyotype
WDR43,,,Karyotype
LINC02068,,,Karyotype
STXBP5,,,Karyotype
RPL23AP44,,,Karyotype
MIR3681HG,,,Karyotype
ISCA1P1,,,Karyotype
HIVEP3,,,Karyotype
SCN10A,,,Karyotype
HEY2,,,Karyotype
PRKAA1,,,Karyotype
ADAMTS7,,,Karyotype
LINC01344,,,Karyotype
LINC00501,,,Karyotype
NAALADL2-AS2,,,Karyotype
TMC2,,,Karyotype
BLTP1,,,Karyotype
BTF3L4P3,,,Karyotype
RGS21,,,Karyotype
TAGAP-AS1,,,Karyotype
PTPRK,,,Karyotype
PUS10,,,Karyotype
LINC01934,,,Karyotype
MIR4425,,,Karyotype
PTPN2,,,Karyotype
ICOSLG,,,Karyotype
RN7SKP226,,,Karyotype
MROH3P,,,Karyotype
ICOS,,,Karyotype
ARHGAP31,,,Karyotype
PLEK,,,Karyotype
RMI2,,,Karyotype
FRMD4B,,,Karyotype
YDJC,,,Karyotype
ELMO1,,,Karyotype
DLEU1,,,Karyotype
COL11A2P1,,,Karyotype
EXOC1,,,Karyotype
ZNF70P1,,,Karyotype
PHACTR1,,,Karyotype
LNX1-AS1,,,Karyotype
LINC01358,,,Karyotype
ZNF804A,,,Karyotype
DCTN4,,,Karyotype
HLA-DPA3,,,Karyotype
HCG27,,,Karyotype
TCF19,,,Karyotype
EHMT2-AS1,,,Karyotype
RPL24P7,,,Karyotype
RN7SL72P,,,Karyotype
MIR646HG,,,Karyotype
EEF1E1,,,Karyotype
SOX11,,,Karyotype
GRAMD1B,,,Karyotype
GGNBP1,,,Karyotype
DRAIC,,,Karyotype
ACOXL,,,Karyotype
LINC02132,,,Karyotype
SP140,,,Karyotype
FARP2,,,Karyotype
MDS2,,,Karyotype
RHOU,,,Karyotype
KLHDC7B-DT,,,Karyotype
ILRUN,,,Karyotype
RNA5SP458,,,Karyotype
MYL12BP2,,,Karyotype
SYMPK,,,Karyotype
SCG5,,,Karyotype
COLCA1,,,Karyotype
LINC00536,,,Karyotype
CASC20,,,Karyotype
LINC02331,,,Karyotype
RHPN2,,,Karyotype
OSBPL3,,,Karyotype
SYNJ2,,,Karyotype
MAN2A1-DT,,,Karyotype
MIR4291,,,Karyotype
RPS23P3,,,Karyotype
NABP1,,,Karyotype
SMARCAD1-DT,,,Karyotype
LINC01500,,,Karyotype
DCBLD1,,,Karyotype
CYRIB,,,Karyotype
CCDC190,,,Karyotype
PITX1-AS1,,,Karyotype
HAO1,,,Karyotype
CCND2-AS1,,,Karyotype
HSPA12A,,,Karyotype
TENM3-AS1,,,Karyotype
CCSER1,,,Karyotype
SMLR1,,,Karyotype
TMEM91,,,Karyotype
NXN,,,Karyotype
RPS27P4,,,Karyotype
PREX1,,,Karyotype
LRIG1,,,Karyotype
SLC25A28,,,Karyotype
POLD3,,,Karyotype
GPATCH1,,,Karyotype
PCNX1,,,Karyotype
ATP5PBP4,,,Karyotype
MYRF,,,Karyotype
PLEKHG6,,,Karyotype
LINC01705,,,Karyotype
ZMIZ1-AS1,,,Karyotype
BICC1,,,Karyotype
LINC01475,,,Karyotype
CABLES2,,,Karyotype
TSHZ1,,,Karyotype
FAM182A,,,Karyotype
TMTC1,,,Karyotype
SCAF8,,,Karyotype
MTDHP3,,,Karyotype
RNGTT,,,Karyotype
TDP2,,,Karyotype
AIFM1P1,,,Karyotype
LSAMP,,,Karyotype
ECT2L,,,Karyotype
RNU6-351P,,,Karyotype
LINC02719,,,Karyotype
CLEC3A,,,Karyotype
COX6B1P1,,,Karyotype
RETREG3,,,Karyotype
MIR4300HG,,,Karyotype
MAPK6P2,,,Karyotype
LIMA1,,,Karyotype
CSRNP3,,,Karyotype
GMCL1,,,Karyotype
HOXB2,,,Karyotype
MGAT5B,,,Karyotype
OTUD1,,,Karyotype
MAML3,,,Karyotype
RNA5SP56,,,Karyotype
GNPDA1,,,Karyotype
MADD,,,Karyotype
PHF19,,,Karyotype
NECAB2,,,Karyotype
KCNK3,,,Karyotype
BMPER,,,Karyotype
B3GALT5,,,Karyotype
CALN1,,,Karyotype
JCAD,,,Karyotype
PLPP3,,,Karyotype
UBE2H-DT,,,Karyotype
ZPR1,,,Karyotype
HHIPL1,,,Karyotype
CELSR2,,,Karyotype
LINC03089,,,Karyotype
SMG6,,,Karyotype
CNNM2,,,Karyotype
WDR12,,,Karyotype
COL4A2,,,Karyotype
MIA3,,,Karyotype
ANKS1A,,,Karyotype
UBE2Z,,,Karyotype
MRAS,,,Karyotype
ST3GAL4,,,Karyotype
LIPA,,,Karyotype
MORF4L1,,,Karyotype
BCAP29,,,Karyotype
WDR86-AS1,,,Karyotype
UBE2D3P4,,,Karyotype
SPRY4-AS1,,,Karyotype
SLC38A11,,,Karyotype
FNDC1,,,Karyotype
LINC01526,,,Karyotype
MTND1P22,,,Karyotype
HECTD4,,,Karyotype
LINC01808,,,Karyotype
ATP2B1,,,Karyotype
TARID,,,Karyotype
CARF,,,Karyotype
LINC01312,,,Karyotype
FN1-DT,,,Karyotype
TRIB1AL,,,Karyotype
RHOA,,,Karyotype
CDH13,,,Karyotype
BCRP1,,,Karyotype
GUCY1A1,,,Karyotype
BCAS3,,,Karyotype
RBM47,,,Karyotype
CASC15,,,Karyotype
PRDM8,,,Karyotype
PFN1P11,,,Karyotype
SWAP70,,,Karyotype
ARHGEF26,,,Karyotype
LPAL2,,,Karyotype
THSD7A,,,Karyotype
DAB1,,,Karyotype
SCML4,,,Karyotype
RN7SKP61,,,Karyotype
ARID3B,,,Karyotype
AGAP1,,,Karyotype
LINC00393,,,Karyotype
PARD3B,,,Karyotype
KRT8P37,,,Karyotype
NID2,,,Karyotype
EDNRB-AS1,,,Karyotype
DCAKD,,,Karyotype
GRM8,,,Karyotype
RNU1-150P,,,Karyotype
HLA-V,,,Karyotype
RN7SL51P,,,Karyotype
SLC43A3,,,Karyotype
LINC00492,,,Karyotype
SBSPON,,,Karyotype
LINC01164,,,Karyotype
PSMB10,,,Karyotype
LINC01882,,,Karyotype
LINC02770,,,Karyotype
BSN,,,Karyotype
TNFSF18,,,Karyotype
ETS2-AS1,,,Karyotype
LINC02571,,,Karyotype
SBNO2,,,Karyotype
LACC1,,,Karyotype
KSR1,,,Karyotype
LINC00824,,,Karyotype
PPM1G,,,Karyotype
RSBN1,,,Karyotype
ANKRD55,,,Karyotype
LINC00581,,,Karyotype
PPP5C,,,Karyotype
RSPO3,,,Karyotype
LINC02230,,,Karyotype
GIPC2,,,Karyotype
LINC02694,,,Karyotype
CPEB4,,,Karyotype
COX6B1P6,,,Karyotype
SLAIN2,,,Karyotype
SKAP2,,,Karyotype
DUSP5-DT,,,Karyotype
FCHSD2,,,Karyotype
MLN,,,Karyotype
MAGI1,,,Karyotype
RNU6-546P,,,Karyotype
CFAP45,,,Karyotype
PLCXD2,,,Karyotype
LY75-CD302,,,Karyotype
KRTCAP2,,,Karyotype
MIR762HG,,,Karyotype
SASH1,,,Karyotype
HMGB1P13,,,Karyotype
PCNPP3,,,Karyotype
LIMK2,,,Karyotype
NTN5,,,Karyotype
ITSN2,,,Karyotype
ARAP3,,,Karyotype
NPM1P51,,,Karyotype
LINC01900,,,Karyotype
GOLIM4,,,Karyotype
KAT2B,,,Karyotype
EPDR1,,,Karyotype
LINC00899,,,Karyotype
EIF3E,,,Karyotype
DUXA,,,Karyotype
LINC01592,,,Karyotype
LINC01370,,,Karyotype
PPIAP34,,,Karyotype
RPS27AP14,,,Karyotype
WNT2,,,Karyotype
MIRLET7BHG,,,Karyotype
ST7,,,Karyotype
MAFB,,,Karyotype
ZC3H12D,,,Karyotype
SDK1-AS1,,,Karyotype
EBF2,,,Karyotype
BOP1,,,Karyotype
HSPE1P1,,,Karyotype
RAB31,,,Karyotype
LINC02938,,,Karyotype
NEDD4,,,Karyotype
DHX8,,,Karyotype
HORMAD2,,,Karyotype
ATXN2L,,,Karyotype
LINC02654,,,Karyotype
RPL5P7,,,Karyotype
MIR4713HG,,,Karyotype
HEY2-AS1,,,Karyotype
EIF2AK4,,,Karyotype
MIR148A,,,Karyotype
HMGB1P18,,,Karyotype
RNU6-735P,,,Karyotype
LNC-LBCS,,,Karyotype
GREB1,,,Karyotype
LINC01812,,,Karyotype
LINC01412,,,Karyotype
VRK2,,,Karyotype
IQCM,,,Karyotype
EIF2S2P7,,,Karyotype
NFE2L1-DT,,,Karyotype
MIR552,,,Karyotype
LINC02497,,,Karyotype
TRIM36,,,Karyotype
PCDH7,,,Karyotype
COL15A1,,,Karyotype
SRGAP1,,,Karyotype
RAD23BP2,,,Karyotype
ZBTB18,,,Karyotype
ACAD10,,,Karyotype
LRFN2,,,Karyotype
ANP32A,,,Karyotype
CSNK1A1,,,Karyotype
SEMA5B,,,Karyotype
NAALADL2,,,Karyotype
HEATR3,,,Karyotype
ST6GAL1,,,Karyotype
PSMB3P2,,,Karyotype
ATP6V1G1P7,,,Karyotype
SLC39A6,,,Karyotype
PTPDC1,,,Karyotype
SPARCL1,,,Karyotype
HECW1,,,Karyotype
C1orf127,,,Karyotype
SRP14-DT,,,Karyotype
ANO3,,,Karyotype
BRWD1P2,,,Karyotype
GPANK1,,,Karyotype
RNU6-185P,,,Karyotype
CAPN2,,,Karyotype
CYBC1,,,Karyotype
ZC3H8,,,Karyotype
ST8SIA2,,,Karyotype
OR5BD1P,,,Karyotype
OARD1,,,Karyotype
SALRNA1,,,Karyotype
MGAT5,,,Karyotype
DNAJC24,,,Karyotype
RBFOX1,,,Karyotype
DERA,,,Karyotype
NKG7,,,Karyotype
LINC02322,,,Karyotype
AFAP1-AS1,,,Karyotype
RTEL1-TNFRSF6B,,,Karyotype
POLR3B,,,Karyotype
SNORA70,,,Karyotype
GOLGA3,,,Karyotype
LRRC31,,,Karyotype
MICOS10,,,Karyotype
FGF7,,,Karyotype
CAPZB,,,Karyotype
LINC01405,,,Karyotype
CNIH2,,,Karyotype
MAP3K11,,,Karyotype
NRXN2,,,Karyotype
H2BC7,,,Karyotype
SHLD2,,,Karyotype
NIPAL1,,,Karyotype
HLA-DPA2,,,Karyotype
LINC02265,,,Karyotype
HLA-W,,,Karyotype
POLR1HASP,,,Karyotype
MUC22,,,Karyotype
PRR3,,,Karyotype
LINC01016,,,Karyotype
KIF4CP,,,Karyotype
C1QTNF6,,,Karyotype
SLAMF6,,,Karyotype
LINC01550,,,Karyotype
USP3,,,Karyotype
CTAGE11P,,,Karyotype
MRPS36P5,,,Karyotype
HNRNPA1P4,,,Karyotype
EMICERI,,,Karyotype
GNA15,,,Karyotype
LINC01322,,,Karyotype
HLX-AS1,,,Karyotype
HNRNPA1P73,,,Karyotype
CH25H,,,Karyotype
LINC02388,,,Karyotype
ADAMTSL1,,,Karyotype
LINC02404,,,Karyotype
RPUSD4,,,Karyotype
RNU7-182P,,,Karyotype
CDK14,,,Karyotype
REL-DT,,,Karyotype
LRRC25,,,Karyotype
TMEM241,,,Karyotype
TBL2,,,Karyotype
FAN1,,,Karyotype
LINC02151,,,Karyotype
PHYHIP,,,Karyotype
MUC5B,,,Karyotype
TOLLIP,,,Karyotype
MAPT-AS1,,,Karyotype
MDGA2,,,Karyotype
LINC02883,,,Karyotype
TTYH1,,,Karyotype
GPRIN3,,,Karyotype
CHPF2,,,Karyotype
CBX7,,,Karyotype
RN7SL304P,,,Karyotype
SRP54-AS1,,,Karyotype
FBRS,,,Karyotype
LINC02917,,,Karyotype
BNIP1,,,Karyotype
LINC02006,,,Karyotype
SIK3,,,Karyotype
ZGPAT,,,Karyotype
LINC02940,,,Karyotype
IKZF3,,,Karyotype
ZNF300,,,Karyotype
INAVA,,,Karyotype
IFNG-AS1,,,Karyotype
MUC19,,,Karyotype
LINC02635,,,Karyotype
IL27,,,Karyotype
LINC03004,,,Karyotype
GPR35,,,Karyotype
FGFR1OP2P1,,,Karyotype
CDC37,,,Karyotype
RORC,,,Karyotype
ADCY3,,,Karyotype
TSPAN14,,,Karyotype
FOSL2-AS1,,,Karyotype
WT1-AS,,,Karyotype
CWC27,,,Karyotype
PRIMA1,,,Karyotype
COX6CP6,,,Karyotype
LINC02017,,,Karyotype
MTUS2,,,Karyotype
P2RY2,,,Karyotype
LINC02055,,,Karyotype
LRRC34,,,Karyotype
DPP9,,,Karyotype
FAM13A,,,Karyotype
ATP11A,,,Karyotype
AZGP1P1,,,Karyotype
STN1,,,Karyotype
DEPTOR,,,Karyotype
PMF1,,,Karyotype
RNU105C,,,Karyotype
BOLL,,,Karyotype
BET1L,,,Karyotype
RNU6-1032P,,,Karyotype
ANKRD44-IT1,,,Karyotype
STARD13,,,Karyotype
DAGLB,,,Karyotype
LINC01765,,,Karyotype
MIA-RAB4B,,,Karyotype
CENPU,,,Karyotype
NRG3,,,Karyotype
TENM2,,,Karyotype
RNA5SP86,,,Karyotype
RPL37A,,,Karyotype
LNCTSI,,,Karyotype
LINC02103,,,Karyotype
DYNC1I1,,,Karyotype
LINC02752,,,Karyotype
RIPK2,,,Karyotype
LINC02227,,,Karyotype
SYT16,,,Karyotype
BPTF,,,Karyotype
NOP56P1,,,Karyotype
MTMR3,,,Karyotype
TNFRSF19,,,Karyotype
HYKK,,,Karyotype
CPSF6,,,Karyotype
LINC02853,,,Karyotype
ZNF608,,,Karyotype
LINC01847,,,Karyotype
FGF12,,,Karyotype
AK8,,,Karyotype
KCNH5,,,Karyotype
LINC01559,,,Karyotype
ESRRG,,,Karyotype
SLC44A3P1,,,Karyotype
PCDH1,,,Karyotype
TIMM17BP1,,,Karyotype
LINC02473,,,Karyotype
RASGEF1B,,,Karyotype
MYO10,,,Karyotype
SUNO1,,,Karyotype
BTF3P9,,,Karyotype
RFPL4A,,,Karyotype
PIEZO2,,,Karyotype
LINC01038,,,Karyotype
PPIAP76,,,Karyotype
RNU6-1060P,,,Karyotype
PCLO,,,Karyotype
EHHADH-AS1,,,Karyotype
PBRM1,,,Karyotype
LINC01432,,,Karyotype
SPPL2C,,,Karyotype
MTCO2P25,,,Karyotype
LINC02850,,,Karyotype
CDK10,,,Karyotype
AFG3L1P,,,Karyotype
COX8BP,,,Karyotype
CPQ,,,Karyotype
MEF2D,,,Karyotype
ASTN2,,,Karyotype
UFL1-AS1,,,Karyotype
MMP17,,,Karyotype
MARCHF4,,,Karyotype
NT5C2,,,Karyotype
TRPM8,,,Karyotype
LINC02780,,,Karyotype
RNU1-148P,,,Karyotype
HAUS1,,,Karyotype
FHL5,,,Karyotype
SUGCT,,,Karyotype
EPB41L2,,,Karyotype
MIR4272,,,Karyotype
FGF6,,,Karyotype
DSTN,,,Karyotype
LINC00877,,,Karyotype
RNU6-896P,,,Karyotype
CDH4,,,Karyotype
OTUD6B-AS1,,,Karyotype
SV2C,,,Karyotype
XKR4,,,Karyotype
PHF20,,,Karyotype
RABGAP1L,,,Karyotype
COX7B2,,,Karyotype
PTPRD,,,Karyotype
ATP7BP1,,,Karyotype
RNU6-1213P,,,Karyotype
OR4S1,,,Karyotype
STK10,,,Karyotype
CASZ1,,,Karyotype
SUV39H2,,,Karyotype
LINC02646,,,Karyotype
IRAG1,,,Karyotype
ASAP1,,,Karyotype
LEPROTL1,,,Karyotype
TMEM51,,,Karyotype
PAPPA,,,Karyotype
KCNK5,,,Karyotype
MRPL37,,,Karyotype
CLVS1,,,Karyotype
WASL,,,Karyotype
POU5F1P2,,,Karyotype
ARL15,,,Karyotype
POLD2P1,,,Karyotype
ZDHHC6,,,Karyotype
RSU1,,,Karyotype
TUBB4BP7,,,Karyotype
MIR4527HG,,,Karyotype
NR2F2-AS1,,,Karyotype
GPR182,,,Karyotype
NRP1,,,Karyotype
LINC00200,,,Karyotype
LINC02641,,,Karyotype
SNX24,,,Karyotype
KSR2,,,Karyotype
SNRPEP6,,,Karyotype
HNRNPA3P8,,,Karyotype
LINC00707,,,Karyotype
CNPY1,,,Karyotype
FARP1,,,Karyotype
RLIG1P3,,,Karyotype
RNU4-35P,,,Karyotype
WAPL,,,Karyotype
LINC02109,,,Karyotype
KATNBL1P4,,,Karyotype
HCG20,,,Karyotype
INHBA,,,Karyotype
PSTK,,,Karyotype
PPIAP39,,,Karyotype
CENPF,,,Karyotype
ATF7,,,Karyotype
SESTD1,,,Karyotype
LINC01440,,,Karyotype
MOG,,,Karyotype
LINC02153,,,Karyotype
ADARB2,,,Karyotype
LINC02156,,,Karyotype
VSTM4,,,Karyotype
LIMCH1,,,Karyotype
CTIF,,,Karyotype
LYZL1,,,Karyotype
LINC02782,,,Karyotype
SLC35D2,,,Karyotype
BPIFC,,,Karyotype
RPL36AP26,,,Karyotype
DLG2,,,Karyotype
SLC24A3,,,Karyotype
DYNLL2-DT,,,Karyotype
RNF213,,,Karyotype
SDR9C7,,,Karyotype
SYPL1P1,,,Karyotype
LINC01752,,,Karyotype
HJURP,,,Karyotype
ZCCHC14-DT,,,Karyotype
SPINK2,,,Karyotype
CYB5AP3,,,Karyotype
CCM2L,,,Karyotype
ADAMTSL4-AS2,,,Karyotype
YAP1,,,Karyotype
RPL32P36,,,Karyotype
LINC02238,,,Karyotype
LINC02730,,,Karyotype
ZNF736,,,Karyotype
MPPED2,,,Karyotype
LMCD1-AS1,,,Karyotype
CBR1-AS1,,,Karyotype
SIPA1L1-AS1,,,Karyotype
GLIS1,,,Karyotype
LINC01013,,,Karyotype
CMTM7,,,Karyotype
RN7SL231P,,,Karyotype
OTUD7A,,,Karyotype
LINC02414,,,Karyotype
GPM6A,,,Karyotype
PARVA,,,Karyotype
ADAMTS12,,,Karyotype
DUSP10,,,Karyotype
KCNK13,,,Karyotype
IFNL3,,,Karyotype
HAGLR,,,Karyotype
PAX8-AS1,,,Karyotype
NDUFB5P1,,,Karyotype
UNC5B,,,Karyotype
DSEL,,,Karyotype
AKAP7,,,Karyotype
MANCR,,,Karyotype
ILF2,,,Karyotype
LINC01411,,,Karyotype
POLQ,,,Karyotype
SLC2A13P1,,,Karyotype
DTNB,,,Karyotype
LINC02269,,,Karyotype
ULK4,,,Karyotype
MIR124-1HG,,,Karyotype
MED24,,,Karyotype
TNKS,,,Karyotype
PPP1R3B-DT,,,Karyotype
YWHAQP1,,,Karyotype
FNDC3A,,,Karyotype
OTX2-AS1,,,Karyotype
LCOR,,,Karyotype
PSORS1C1,,,Karyotype
HLA-F-AS1,,,Karyotype
CD6,,,Karyotype
UBBP1,,,Karyotype
MPHOSPH9,,,Karyotype
LINC02082,,,Karyotype
RPSAP22,,,Karyotype
SAYSD1,,,Karyotype
MIR548G,,,Karyotype
GIP,,,Karyotype
VIPR2,,,Karyotype
SNTB1,,,Karyotype
DOK6,,,Karyotype
PPAN,,,Karyotype
TRBV7-2,,,Karyotype
SMIM12,,,Karyotype
PKN2-AS1,,,Karyotype
LINC00352,,,Karyotype
NBAT1,,,Karyotype
ASH1L,,,Karyotype
LINC02161,,,Karyotype
ARL4C,,,Karyotype
XXYLT1,,,Karyotype
LAMA1,,,Karyotype
SHTN1,,,Karyotype
ANKFN1,,,Karyotype
BDNF-AS,,,Karyotype
TMEM18,,,Karyotype
RPL31P12,,,Karyotype
PACS1,,,Karyotype
RMST,,,Karyotype
CCDC77,,,Karyotype
KIAA1217,,,Karyotype
SLC8A1,,,Karyotype
FARS2,,,Karyotype
TCF4,,,Karyotype
MTATP6P14,,,Karyotype
DUS4L-BCAP29,,,Karyotype
MCF2L,,,Karyotype
GNL3,,,Karyotype
SUPT3H,,,Karyotype
CAMK2B,,,Karyotype
RPL35AP,,,Karyotype
DNAH10,,,Karyotype
NPM1P14,,,Karyotype
NACA2,,,Karyotype
LYPLAL1-AS1,,,Karyotype
TGFA,,,Karyotype
EQTN,,,Karyotype
SMC4P1,,,Karyotype
COL27A1,,,Karyotype
RWDD2B,,,Karyotype
BTNL8,,,Karyotype
MAP2K6,,,Karyotype
USP50,,,Karyotype
NT5DC2,,,Karyotype
DUBR,,,Karyotype
LINC01094,,,Karyotype
SLC36A4,,,Karyotype
LINC02234,,,Karyotype
FSTL5,,,Karyotype
TSPAN17,,,Karyotype
TFDP1P3,,,Karyotype
LINC02680,,,Karyotype
SRBD1,,,Karyotype
KIAA1755,,,Karyotype
ANXA3,,,Karyotype
PTPRG,,,Karyotype
NKAIN1,,,Karyotype
ZNF345,,,Karyotype
MARK2P15,,,Karyotype
NPAP1P4,,,Karyotype
PPIAP1,,,Karyotype
LURAP1L,,,Karyotype
MDFIC2,,,Karyotype
MS4A13,,,Karyotype
RPL14P6,,,Karyotype
MRPS33P3,,,Karyotype
CNN2P10,,,Karyotype
SMIM23,,,Karyotype
PPM1H,,,Karyotype
FTCDNL1,,,Karyotype
TIPARP,,,Karyotype
RN7SL720P,,,Karyotype
SKAP1,,,Karyotype
CHMP4C,,,Karyotype
LINC02112,,,Karyotype
RNU6-609P,,,Karyotype
LINC00511,,,Karyotype
PLUT,,,Karyotype
LINC02831,,,Karyotype
LINC01829,,,Karyotype
SEC11C,,,Karyotype
WNT2B,,,Karyotype
LINC01620,,,Karyotype
ROR1,,,Karyotype
NR5A2,,,Karyotype
EEF1A1P40,,,Karyotype
PWWP3B,,,Karyotype
SAMD12-AS1,,,Karyotype
GAK,,,Karyotype
NSF,,,Karyotype
RBMS3,,,Karyotype
FAM47E-STBD1,,,Karyotype
TMEM175,,,Karyotype
SLC41A1,,,Karyotype
DGKQ,,,Karyotype
SNCA-AS1,,,Karyotype
KANSL1,,,Karyotype
PMVK,,,Karyotype
RAB29,,,Karyotype
LINC01709,,,Karyotype
RN7SL813P,,,Karyotype
CCNT2-AS1,,,Karyotype
TMEM229B,,,Karyotype
INPP5F,,,Karyotype
BCKDK,,,Karyotype
CCDC62,,,Karyotype
SPATA19,,,Karyotype
DDRGK1,,,Karyotype
SIPA1L2,,,Karyotype
TMPRSS9,,,Karyotype
MIPEP,,,Karyotype
RPL36AP23,,,Karyotype
KCNQ5,,,Karyotype
WWP2,,,Karyotype
DENND1A,,,Karyotype
NAB1,,,Karyotype
DENND1B,,,Karyotype
EXOC3L4,,,Karyotype
UGT3A1,,,Karyotype
RPS6KA4,,,Karyotype
PLCL2,,,Karyotype
FBXL20,,,Karyotype
POU2AF1,,,Karyotype
RPL6P8,,,Karyotype
MIR4435-2HG,,,Karyotype
MOBP,,,Karyotype
STX6,,,Karyotype
LINC02623,,,Karyotype
CD8B,,,Karyotype
MYEOV,,,Karyotype
CTBP2,,,Karyotype
TNRC6B,,,Karyotype
CLDN11,,,Karyotype
VAMP8,,,Karyotype
TUBA1C,,,Karyotype
ZBTB38,,,Karyotype
CCHCR1,,,Karyotype
NUDT11,,,Karyotype
LILRA5,,,Karyotype
CASC19,,,Karyotype
SINHCAFP3,,,Karyotype
RGS17,,,Karyotype
VPS53,,,Karyotype
SIDT1,,,Karyotype
AFM,,,Karyotype
LINC01162,,,Karyotype
SHROOM2,,,Karyotype
TRIM8,,,Karyotype
SALL3,,,Karyotype
ARMC2,,,Karyotype
GATA5,,,Karyotype
RNU6-500P,,,Karyotype
SUCLG2,,,Karyotype
DGKK,,,Karyotype
LCLAT1,,,Karyotype
PNPLA10P,,,Karyotype
PCAT1,,,Karyotype
PES1P2,,,Karyotype
TTLL1,,,Karyotype
KRT78,,,Karyotype
RFX6,,,Karyotype
GOLPH3L,,,Karyotype
LINC00399,,,Karyotype
TTC28,,,Karyotype
SLC7A3,,,Karyotype
XAGE3,,,Karyotype
ADNP,,,Karyotype
RNU4ATAC9P,,,Karyotype
SENP1,,,Karyotype
NEDD9,,,Karyotype
MARCHF8,,,Karyotype
TTC9-DT,,,Karyotype
TMPRSS2,,,Karyotype
NOL10,,,Karyotype
RPL23AP61,,,Karyotype
EEFSEC,,,Karyotype
LCE3E,,,Karyotype
KCNH7,,,Karyotype
SATB1-AS1,,,Karyotype
ANXA6,,,Karyotype
LCEP4,,,Karyotype
STAT2,,,Karyotype
LINC00407,,,Karyotype
STX1B,,,Karyotype
POLI,,,Karyotype
OSTN,,,Karyotype
TRERNA1,,,Karyotype
ZNF816-ZNF321P,,,Karyotype
CAVIN1,,,Karyotype
LINC01714,,,Karyotype
CLIC6,,,Karyotype
PAK5,,,Karyotype
QTRT1,,,Karyotype
POU2F3,,,Karyotype
RUSC2,,,Karyotype
TRAF3IP2-AS1,,,Karyotype
IREB2,,,Karyotype
RNU6-835P,,,Karyotype
LINC02953,,,Karyotype
PDZD2,,,Karyotype
MAP2K5,,,Karyotype
GSTO3P,,,Karyotype
LINC01304,,,Karyotype
EEF1A1P28,,,Karyotype
LINC02520,,,Karyotype
CCDC148,,,Karyotype
SEMA6D,,,Karyotype
LINC02086,,,Karyotype
RPS10P21,,,Karyotype
LINC01478,,,Karyotype
